träger;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Öffentliche Haushalte;17862;19171;19925;20171;18475;14366;13696;13692;13901;14489;14635;14742;14360;13891;13363;13321;13665;14605;14463;14372;15028;14923;15681;16304;18044;16912;17395;18381;32183;44526;51441;28268
Gesetzliche Krankenversicherung;98339;98547;106910;112036;115690;114728;117265;120682;123417;127880;132394;135027;131028;135320;139188;144757;150839;159894;165138;167757;171674;180789;190746;198907;207161;214181;222090;233018;241491;255163;265397;279082
Soziale Pflegeversicherung;0;0;0;5274;10887;15066;15750;16284;16639;16807;17249;17379;17521;17805;17976;18293;19069;20212;21428;21841;22860;24259;25292;27801;29424;37200;39522;42117;47172;51647;57691;58106
Gesetzliche Rentenversicherung;3525;3897;4116;4401;4426;3115;3089;3210;3525;3642;3727;3733;3638;3596;3570;3666;3860;4011;4052;4120;4255;4267;4362;4440;4526;4690;4878;5025;4761;5056;5239;5799
Gesetzliche Unfallversicherung;2800;3090;3245;3362;3380;3479;3506;3604;3637;3629;3755;3856;3875;3929;4015;4012;4271;4453;4610;4779;4920;5035;5264;5426;5642;5798;6006;6378;6245;6269;6498;6974
Private Krankenversicherung;11459;12418;13170;14148;14546;15563;16054;16795;17487;18248;19239;20266;20980;21790;22395;23401;24718;25827;26623;27612;27886;28900;29084;30535;31016;31664;33253;34632;35406;36727;38507;40860
Arbeitgeber;6958;7299;7546;7809;8093;8347;8516;8541;8707;9190;9477;9775;9922;10207;10526;10851;11352;11727;12158;12505;12712;13355;13842;14488;15022;15628;16518;17463;17918;18457;19385;21360
Private Haushalte/Priv.Organisat.oh.Erwerbszweck;18266;19192;20434;20234;20190;21947;23689;24740;26627;27399;29120;30518;33419;34574;36413;37382;38092;39716;41410;42425;43782;42667;43451;45483;46807;48688;51313;54523;53743;58242;57018;60330
Insgesamt;159209;163615;175345;187435;195687;196609;201565;207546;213940;221283;229595;235297;234743;241111;247448;255683;265865;280446;289881;295410;303117;314195;327722;343384;357641;374760;390975;411535;438917;476088;501176;500780

