Datum;Gesamtzahl der Infektionen;Zuwachs seit der letzten Meldung;Genesen;Verstorben
09.09.2022;;;;
08.09.2022;;;;
07.09.2022;;;;
06.09.2022;;;;
05.09.2022;;;;
04.09.2022;;;;
03.09.2022;;;;
02.09.2022;;;;
01.09.2022;;;;
31.08.2022;;;;
30.08.2022;;;;
29.08.2022;;;;
28.08.2022;;;;
27.08.2022;;;;
26.08.2022;13.660;0;13.158;57
25.08.2022;;;;
24.08.2022;;;;
23.08.2022;;;;
22.08.2022;;;;
21.08.2022;;;;
20.08.2022;;;;
19.08.2022;13.660;153;13.158;57
18.08.2022;;;;
17.08.2022;;;;
16.08.2022;;;;
15.08.2022;;;;
14.08.2022;;;;
13.08.2022;;;;
12.08.2022;13.507;193;13.000;57
11.08.2022;;;;
10.08.2022;;;;
09.08.2022;;;;
08.08.2022;;;;
07.08.2022;;;;
06.08.2022;;;;
05.08.2022;13.314;356;12.790;57
04.08.2022;;;;
03.08.2022;;;;
02.08.2022;;;;
01.08.2022;;;;
31.07.2022;;;;
30.07.2022;;;;
29.07.2022;;;;
28.07.2022;;;;
27.07.2022;;;;
26.07.2022;;;;
25.07.2022;;;;
24.07.2022;;;;
23.07.2022;;;;
22.07.2022;12.958;237;12.249;56
21.07.2022;;;;
20.07.2022;;;;
19.07.2022;;;;
18.07.2022;;;;
17.07.2022;;;;
16.07.2022;;;;
15.07.2022;12.721;368;11.916;56
14.07.2022;;;;
13.07.2022;;;;
12.07.2022;;;;
11.07.2022;;;;
10.07.2022;;;;
09.07.2022;;;;
08.07.2022;12.353;284;11.570;56
07.07.2022;;;;
06.07.2022;;;;
05.07.2022;;;;
04.07.2022;;;;
03.07.2022;;;;
02.07.2022;;;;
01.07.2022;12.069;659;11.255;56
30.06.2022;;;;
29.06.2022;;;;
28.06.2022;;;;
27.06.2022;;;;
26.06.2022;;;;
25.06.2022;;;;
24.06.2022;;;;
23.06.2022;;;;
22.06.2022;;;;
21.06.2022;;;;
20.06.2022;;;;
19.06.2022;;;;
18.06.2022;;;;
17.06.2022;11.410;165;11.093;55
16.06.2022;;;;
15.06.2022;;;;
14.06.2022;;;;
13.06.2022;;;;
12.06.2022;;;;
11.06.2022;;;;
10.06.2022;11.245;136;10.967;55
09.06.2022;;;;
08.06.2022;;;;
07.06.2022;;;;
06.06.2022;;;;
05.06.2022;;;;
04.06.2022;;;;
03.06.2022;11.109;97;10.882;55
02.06.2022;;;;
01.06.2022;;;;
31.05.2022;;;;
30.05.2022;;;;
29.05.2022;;;;
28.05.2022;;;;
27.05.2022;11.012;89;10.768;56
26.05.2022;;;;
25.05.2022;;;;
24.05.2022;;;;
23.05.2022;;;;
22.05.2022;;;;
21.05.2022;;;;
20.05.2022;10.923;119;10.640;55
19.05.2022;;;;
18.05.2022;;;;
17.05.2022;;;;
16.05.2022;;;;
15.05.2022;;;;
14.05.2022;;;;
13.05.2022;10.804;137;10.493;55
12.05.2022;;;;
11.05.2022;;;;
10.05.2022;;;;
09.05.2022;;;;
08.05.2022;;;;
07.05.2022;;;;
06.05.2022;10.667;154;10.230;53
05.05.2022;10.513;0;9.957;53
04.05.2022;10.513;0;9.957;53
03.05.2022;10.513;0;9.957;53
02.05.2022;10.513;0;9.957;53
01.05.2022;;;;
30.04.2022;;;;
29.04.2022;10.513;296;9.957;53
28.04.2022;10.217;0;9.655;52
27.04.2022;10.217;0;9.655;52
26.04.2022;10.217;0;9.655;52
25.04.2022;10.217;0;9.655;52
24.04.2022;;;;
23.04.2022;;;;
22.04.2022;10.217;94;9.655;52
21.04.2022;10.123;60;9.590;52
20.04.2022;10.063;146;9.518;52
19.04.2022;9.917;0;9.153;52
18.04.2022;;;;
17.04.2022;;;;
16.04.2022;;;;
15.04.2022;;;;
14.04.2022;9.917;50;9.153;52
13.04.2022;9.867;63;9.052;52
12.04.2022;9.804;29;8.934;52
11.04.2022;9.775;183;8.842;52
10.04.2022;;;;
09.04.2022;;;;
08.04.2022;9.592;49;8.649;52
07.04.2022;9.543;57;8.531;52
06.04.2022;9.486;68;8.439;52
05.04.2022;9.418;47;8.359;52
04.04.2022;9.371;157;8.254;52
03.04.2022;;;;
02.04.2022;;;;
01.04.2022;9.214;133;8.090;52
31.03.2022;9.081;133;8.007;52
30.03.2022;8.948;115;7.909;52
29.03.2022;8.833;189;7.810;52
28.03.2022;8.644;61;7.766;52
27.03.2022;;;;
26.03.2022;;;;
25.03.2022;8.583;108;7.649;52
24.03.2022;8.475;95;7.576;52
23.03.2022;8.380;130;7.502;52
22.03.2022;8.250;67;7.431;52
21.03.2022;8.183;123;7.250;52
20.03.2022;;;;
19.03.2022;;;;
18.03.2022;8.060;112;7.250;51
17.03.2022;7.948;98;7.199;51
16.03.2022;7.850;68;7.130;51
15.03.2022;7.782;59;7.090;51
14.03.2022;7.723;82;7.045;51
13.03.2022;;;;
12.03.2022;;;;
11.03.2022;7.641;77;6.973;50
10.03.2022;7.564;87;6.924;49
09.03.2022;7.477;66;6.869;49
08.03.2022;7.411;38;6.806;49
07.03.2022;7.373;121;6.735;49
06.03.2022;;;;
05.03.2022;;;;
04.03.2022;7.252;46;6.622;49
03.03.2022;7.206;63;6.535;49
02.03.2022;7.143;33;6.474;49
01.03.2022;7.110;115;6.364;49
28.02.2022;;;;
27.02.2022;;;;
26.02.2022;;;;
25.02.2022;6.995;74;6.119;49
24.02.2022;6.921;65;5.990;49
23.02.2022;6.856;79;5.900;49
22.02.2022;6.777;46;5.786;49
21.02.2022;6.731;151;5.681;49
20.02.2022;;;;
19.02.2022;;;;
18.02.2022;6.580;74;5.407;49
17.02.2022;6.506;103;5.294;49
16.02.2022;6.403;86;5.128;49
15.02.2022;6.317;31;4.924;49
14.02.2022;6.286;230;4.833;49
13.02.2022;;;;
12.02.2022;;;;
11.02.2022;6.056;104;4.602;47
10.02.2022;5.952;113;4.482;47
09.02.2022;5.839;107;4.314;47
08.02.2022;5.732;122;4.100;47
07.02.2022;5.610;353;4.046;47
06.02.2022;;;;
05.02.2022;;;;
04.02.2022;5.257;170;3.731;47
03.02.2022;5.087;107;3.655;47
02.02.2022;4.980;92;3.574;47
01.02.2022;4.888;141;3.473;47
31.01.2022;4.747;205;3.424;47
30.01.2022;;;;
29.01.2022;;;;
28.01.2022;4.542;142;3.311;47
27.01.2022;4.400;177;3.241;47
26.01.2022;4.223;124;3.199;47
25.01.2022;4.099;120;3.165;47
24.01.2022;3.979;224;3.146;47
23.01.2022;;;;
22.01.2022;;;;
21.01.2022;3.755;94;3.101;47
20.01.2022;3.661;90;3.082;47
19.01.2022;3.571;105;3.066;47
18.01.2022;3.466;39;3.041;47
17.01.2022;3.427;117;3.030;47
16.01.2022;;;;
15.01.2022;;;;
14.01.2022;3.310;70;3.010;47
13.01.2022;3.240;18;2.993;47
12.01.2022;3.222;29;2.982;47
11.01.2022;3.193;6;2.974;47
10.01.2022;3.187;59;2.970;47
09.01.2022;;;;
08.01.2022;;;;
07.01.2022;3.128;20;2.956;47
06.01.2022;3.108;16;2.951;47
05.01.2022;3.092;15;2.937;47
04.01.2022;3.077;7;2.925;47
03.01.2022;3.070;50;2.913;47
02.01.2022;;;;
01.01.2022;;;;
31.12.2021;3.020;0;2.846;47
30.12.2021;3.020;1;2.846;47
29.12.2021;3.019;3;2.823;47
28.12.2021;3.016;3;2.796;47
27.12.2021;3.013;24;2.776;47
26.12.2021;;;;
25.12.2021;;;;
24.12.2021;;;;
23.12.2021;2.989;14;2.712;47
22.12.2021;2.975;11;2.699;46
21.12.2021;2.964;4;2.679;45
20.12.2021;2.960;53;2.664;45
19.12.2021;;;;
18.12.2021;;;;
17.12.2021;2.907;23;2.634;45
16.12.2021;2.884;24;2.620;45
15.12.2021;2.860;39;2.607;45
14.12.2021;2.821;4;2.580;45
13.12.2021;2.817;51;2.564;45
12.12.2021;;;;
11.12.2021;;;;
10.12.2021;2.766;24;2.496;45
09.12.2021;2.742;4;2.486;44
08.12.2021;2.738;27;2.463;44
07.12.2021;2.711;10;2.436;44
06.12.2021;2.701;34;2.412;43
05.12.2021;;;;
04.12.2021;;;;
03.12.2021;2.667;52;2.354;43
02.12.2021;2.615;0;2.282;42
01.12.2021;2.615;0;2.282;42
30.11.2021;2.615;18;2.282;42
29.11.2021;2.597;65;2.267;42
28.11.2021;;;;
27.11.2021;;;;
26.11.2021;2.532;14;2.226;42
25.11.2021;2.518;23;2.209;42
24.11.2021;2.495;35;2.193;42
23.11.2021;2.460;7;2.167;42
