datum,infekt_sum,infekt_ink,genesen,verstorben,holy_inzidenz,dt_iso
26.08.2022,34.274,0.0,32.963,121,"0,00",2022-08-26
19.08.2022,34.274,414.0,32.963,121,"399,05",2022-08-19
12.08.2022,33.86,452.0,32.481,121,"435,68",2022-08-12
05.08.2022,33.408,1.046,31.927,120,"1.008,23",2022-08-05
22.07.2022,32.362,621.0,30.603,120,"598,58",2022-07-22
15.07.2022,31.741,783.0,29.793,120,"754,73",2022-07-15
08.07.2022,30.958,727.0,28.991,120,"700,75",2022-07-08
01.07.2022,30.231,1.585,28.254,120,"1.527,77",2022-07-01
17.06.2022,28.646,537.0,27.714,119,"517,61",2022-06-17
10.06.2022,28.109,381.0,27.373,119,"367,24",2022-06-10
03.06.2022,27.728,286.0,27.174,118,"275,67",2022-06-03
27.05.2022,27.442,197.0,26.875,118,"189,89",2022-05-27
20.05.2022,27.245,306.0,26.516,113,"294,95",2022-05-20
13.05.2022,26.939,362.0,26.066,110,"348,93",2022-05-13
06.05.2022,26.577,471.0,25.466,108,"453,99",2022-05-06
05.05.2022,26.106,0.0,24.843,107,"684,36",2022-05-05
04.05.2022,26.106,0.0,24.843,107,"684,36",2022-05-04
03.05.2022,26.106,0.0,24.843,107,"684,36",2022-05-03
02.05.2022,26.106,0.0,24.843,107,"684,36",2022-05-02
29.04.2022,26.106,710.0,24.843,107,"684,36",2022-04-29
28.04.2022,25.396,0.0,23.944,104,"198,56",2022-04-28
27.04.2022,25.396,0.0,23.944,104,"373,99",2022-04-27
26.04.2022,25.396,0.0,23.944,104,"727,74",2022-04-26
25.04.2022,25.396,0.0,23.944,104,"727,74",2022-04-25
22.04.2022,25.396,206.0,23.944,104,"727,74",2022-04-22
21.04.2022,25.19,182.0,23.796,104,"529,18",2022-04-21
20.04.2022,25.008,367.0,23.606,103,"505,08",2022-04-20
19.04.2022,24.641,0.0,22.791,103,"325,80",2022-04-19
14.04.2022,24.641,157.0,22.791,103,"987,99",2022-04-14
13.04.2022,24.484,181.0,22.57,103,"930,16",2022-04-13
12.04.2022,24.303,56.0,22.257,103,"926,30",2022-04-12
11.04.2022,24.247,408.0,22.07,102,"946,54",2022-04-11
08.04.2022,23.839,223.0,21.655,102,"877,14",2022-04-08
07.04.2022,23.616,97.0,21.387,102,"929,19",2022-04-07
06.04.2022,23.519,177.0,21.157,102,"1.139,32",2022-04-06
05.04.2022,23.342,77.0,20.913,102,"1.245,35",2022-04-05
04.04.2022,23.265,336.0,20.725,102,"1.544,16",2022-04-04
01.04.2022,22.929,277.0,20.276,102,"1.282,94",2022-04-01
31.03.2022,22.652,315.0,20.041,102,"1.399,57",2022-03-31
30.03.2022,22.337,287.0,19.797,102,"1.413,07",2022-03-30
29.03.2022,22.05,387.0,19.418,101,"1.395,72",2022-03-29
28.03.2022,21.663,65.0,19.327,101,"1.137,39",2022-03-28
25.03.2022,21.598,398.0,18.992,101,"1.425,60",2022-03-25
24.03.2022,21.2,329.0,18.77,101,"1.327,28",2022-03-24
23.03.2022,20.871,269.0,18.6,100,"1.327,28",2022-03-23
22.03.2022,20.602,119.0,18.375,99,"1.235,71",2022-03-22
21.03.2022,20.483,364.0,17.84,99,"1.255,95",2022-03-21
18.03.2022,20.119,296.0,17.84,99,"1.144,14",2022-03-18
17.03.2022,19.823,329.0,17.681,99,"1.042,93",2022-03-17
16.03.2022,19.494,174.0,17.543,99,"929,19",2022-03-16
15.03.2022,19.32,140.0,17.39,99,"970,64",2022-03-15
14.03.2022,19.18,248.0,17.301,99,"964,86",2022-03-14
11.03.2022,18.932,191.0,17.046,99,"1.079,56",2022-03-11
10.03.2022,18.741,211.0,16.907,98,"1.043,90",2022-03-10
09.03.2022,18.53,217.0,16.762,98,"965,82",2022-03-09
08.03.2022,18.313,134.0,16.556,98,"877,14",2022-03-08
07.03.2022,18.179,367.0,16.396,98,"1.105,58",2022-03-07
04.03.2022,17.812,154.0,16.082,98,"751,84",2022-03-04
03.03.2022,17.658,130.0,15.891,98,"772,08",2022-03-03
02.03.2022,17.528,125.0,15.676,98,"863,65",2022-03-02
01.03.2022,17.403,371.0,15.445,98,"891,60",2022-03-01
25.02.2022,17.032,175.0,14.818,98,"998,59",2022-02-25
24.02.2022,16.857,225.0,14.603,97,"1.078,60",2022-02-24
23.02.2022,16.632,154.0,14.376,97,"1.050,64",2022-02-23
22.02.2022,16.478,104.0,14.043,97,"1.116,19",2022-02-22
21.02.2022,16.374,378.0,13.82,97,"1.171,13",2022-02-21
18.02.2022,15.996,258.0,13.256,97,"1.289,69",2022-02-18
17.02.2022,15.738,196.0,12.953,95,"1.201,01",2022-02-17
16.02.2022,15.542,222.0,12.612,95,"1.233,78",2022-02-16
15.02.2022,15.32,161.0,12.189,95,"1.302,22",2022-02-15
14.02.2022,15.159,501.0,11.944,95,"1.416,92",2022-02-14
11.02.2022,14.658,166.0,11.326,95,"1.656,93",2022-02-11
10.02.2022,14.492,230.0,11.022,95,"1.911,40",2022-02-10
09.02.2022,14.262,293.0,10.706,94,"1.890,19",2022-02-09
08.02.2022,13.969,280.0,10.234,94,"1.875,73",2022-02-08
07.02.2022,13.689,750.0,10.041,94,"1.920,07",2022-02-07
04.02.2022,12.939,430.0,9.342,94,"1.776,45",2022-02-04
03.02.2022,12.509,208.0,9.159,94,"1.636,69",2022-02-03
02.02.2022,12.301,278.0,8.989,94,"1.788,98",2022-02-02
01.02.2022,12.023,326.0,8.756,94,"1.795,73",2022-02-01
31.01.2022,11.697,601.0,8.599,94,"1.748,50",2022-01-31
28.01.2022,11.096,285.0,8.357,93,"1.670,43",2022-01-28
27.01.2022,10.811,366.0,8.196,93,"1.626,09",2022-01-27
26.01.2022,10.445,285.0,8.091,93,"1.390,90",2022-01-26
25.01.2022,10.16,277.0,7.967,93,"1.371,62",2022-01-25
24.01.2022,9.883,520.0,7.884,93,"1.207,76",2022-01-24
21.01.2022,9.363,239.0,7.729,93,"992,81",2022-01-21
20.01.2022,9.124,122.0,7.66,92,"907,99",2022-01-20
19.01.2022,9.002,265.0,7.577,92,"873,29",2022-01-19
18.01.2022,8.737,107.0,7.512,92,"714,24",2022-01-18
17.01.2022,8.63,297.0,7.451,92,"637,13",2022-01-17
14.01.2022,8.333,151.0,7.385,92,"534,96",2022-01-14
13.01.2022,8.182,86.0,7.351,92,"472,31",2022-01-13
12.01.2022,8.096,100.0,7.32,92,"444,35",2022-01-12
11.01.2022,7.996,27.0,7.287,92,"413,51",2022-01-11
10.01.2022,7.969,191.0,7.258,92,"420,26",2022-01-10
07.01.2022,7.778,86.0,7.216,92,"370,13",2022-01-07
06.01.2022,7.692,57.0,7.18,92,"287,24",2022-01-06
