jahr,oef_h,gkv,spv,grv,guv,pkv,ag,priv,sum
1992,17862,98339,0,3525,2800,11459,6958,18266,159209
1993,19171,98547,0,3897,3090,12418,7299,19192,163615
1994,19925,106910,0,4116,3245,13170,7546,20434,175345
1995,20171,112036,5274,4401,3362,14148,7809,20234,187435
1996,18475,115690,10887,4426,3380,14546,8093,20190,195687
1997,14366,114728,15066,3115,3479,15563,8347,21947,196609
1998,13696,117265,15750,3089,3506,16054,8516,23689,201565
1999,13692,120682,16284,3210,3604,16795,8541,24740,207546
2000,13901,123417,16639,3525,3637,17487,8707,26627,213940
2001,14489,127880,16807,3642,3629,18248,9190,27399,221283
2002,14635,132394,17249,3727,3755,19239,9477,29120,229595
2003,14742,135027,17379,3733,3856,20266,9775,30518,235297
2004,14360,131028,17521,3638,3875,20980,9922,33419,234743
2005,13891,135320,17805,3596,3929,21790,10207,34574,241111
2006,13363,139188,17976,3570,4015,22395,10526,36413,247448
2007,13321,144757,18293,3666,4012,23401,10851,37382,255683
2008,13665,150839,19069,3860,4271,24718,11352,38092,265865
2009,14605,159894,20212,4011,4453,25827,11727,39716,280446
2010,14463,165138,21428,4052,4610,26623,12158,41410,289881
2011,14372,167757,21841,4120,4779,27612,12505,42425,295410
2012,15028,171674,22860,4255,4920,27886,12712,43782,303117
2013,14923,180789,24259,4267,5035,28900,13355,42667,314195
2014,15681,190746,25292,4362,5264,29084,13842,43451,327722
2015,16304,198907,27801,4440,5426,30535,14488,45483,343384
2016,18044,207161,29424,4526,5642,31016,15022,46807,357641
2017,16912,214181,37200,4690,5798,31664,15628,48688,374760
2018,17395,222090,39522,4878,6006,33253,16518,51313,390975
2019,18381,233018,42117,5025,6378,34632,17463,54523,411535
2020,32183,241491,47172,4761,6245,35406,17918,53743,438917
2021,44526,255163,51647,5056,6269,36727,18457,58242,476088
2022,51441,265397,57691,5239,6498,38507,19385,57018,501176
2023,28268,279082,58106,5799,6974,40860,21360,60330,500780
