jahr;ins;öffentlich;a_teil;freigemeinnützig;f_teil;privat;pr_teil
1991;2.411;1.110;46.0;943;39.1;358;14.8
1992;2.381;1.062;44.6;950;39.9;369;15.5
1993;2.354;1.023;43.5;950;40.4;381;16.2
1994;2.337;987;42.2;949;40.6;401;17.2
1995;2.325;972;41.8;944;40.6;409;17.6
1996;2.269;933;41.1;929;40.9;407;17.9
1997;2.258;919;40.7;919;40.7;420;18.6
1998;2.263;890;39.3;920;40.7;453;20.0
1999;2.252;854;37.9;930;41.3;468;20.8
2000;2.242;844;37.6;912;40.7;486;21.7
2001;2.240;825;36.8;903;40.3;512;22.9
2002;2.221;817;36.8;877;39.5;527;23.7
2003;2.197;796;36.2;856;39.0;545;24.8
2004;2.166;780;36.0;831;38.4;555;25.6
2005;2.139;751;35.1;818;38.2;570;26.6
2006;2.104;717;34.1;803;38.2;584;27.8
2007;2.087;677;32.4;790;37.9;620;29.7
2008;2.083;665;31.9;781;37.5;637;30.6
2009;2.084;648;31.1;769;36.9;667;32.0
2010;2.064;630;30.5;755;36.6;679;32.9
2011;2.045;621;30.4;746;36.5;678;33.2
2012;2.017;601;29.8;719;35.6;697;34.6
2013;1.996;596;29.9;706;35.4;694;34.8
2014;1.980;589;29.7;696;35.2;695;35.1
2015;1.956;577;29.5;679;34.7;700;35.8
2016;1.951;570;29.2;674;34.5;707;36.2
2017;1.942;560;28.8;662;34.1;720;37.1
2018;1.925;552;28.7;650;33.8;723;37.6
2019;1.914;545;28.5;645;33.7;724;37.8
2020;1.903;551;29.0;620;32.6;732;38.5
