jahr;kosten_ber;kst_kh;kst_fall
1991;37420709;15521;2567
1992;41266727;17332;2756
1993;43268276;18381;2848
1994;45247583;19361;2920
1995;47846070;20579;3003
1996;48359216;21313;2992
1997;48684650;21561;2963
1998;49629670;21931;2946
1999;50599442;22469;2960
2000;51603471;23017;2989
2001;52940317;23634;3056
2002;54715328;24635;3139
2003;55664518;25337;3218
2004;56126142;25912;3341
2005;56732375;26523;3430
2006;58080678;27605;3450
2007;59810431;28659;3482
2008;62267622;29893;3554
2009;66170928;31752;3714
2010;68602870;33238;3804
2011;71564617;34995;3901
2012;74474179;36923;4000
2013;76825428;38490;4089
2014;79955257;40381;4176
2015;82959609;42413;4312
2016;86485308;44329;4428
2017;89876150;46280;4623
2018;93533385;48589;4823
2019;98785345;51612;5088
2020;104662196;54999;6232
2021;109329884;57938;6530
2022;114195802;60357;6796
2023;120342962;64217;6996
