statistics_code,time,1_variable_code,2_variable_attribute_code,value,value_unit,value_variable_code,value_variable_label
23131,2021,DINSG,ICD10-Z00-Z13,46728,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-D60-D64,36917,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-F99-F99,189,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-M30-M36,40051,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-A20-A28,969,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-P10-P15,1758,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-M60-M63,15792,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-O60-O75,355168,Anzahl,GES025,Entlassene Patienten
23131,2019,DINSG,ICD10-B15-B19,3623,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-F00-F09,85020,Anzahl,GES025,Entlassene Patienten
23131,2018,DINSG,ICD10-J40-J47,295788,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-Q80-Q89,6236,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-N30-N39,242156,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-I10-I15,291239,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-J00-J06,83422,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-T79-T79,4349,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-C76-C80,139060,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-Z40-Z54,47933,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-O94-O99,39958,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-O30-O48,299506,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-J80-J84,21136,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-H49-H52,14740,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-A90-A99,1560,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-L00-L08,109809,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-J20-J22,123026,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-L60-L75,23450,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-H25-H28,72006,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-R10-R19,194705,Anzahl,GES025,Entlassene Patienten
23131,2023,DINSG,ICD10-K00-K14,63601,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-Q65-Q79,24255,Anzahl,GES025,Entlassene Patienten
23131,2014,DINSG,ICD10-B65-B83,1486,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-F90-F98,24380,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-U60-U61,-,Anzahl,GES025,Entlassene Patienten
23131,2022,DINSG,ICD10-J60-J70,38395,Anzahl,GES025,Entlassene Patienten
23131,2020,DINSG,ICD10-N10-N16,189036,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-M65-M68,27824,Anzahl,GES025,Entlassene Patienten
23131,2015,DINSG,ICD10-Z80-Z99,5231,Anzahl,GES025,Entlassene Patienten
23131,2017,DINSG,ICD10-O09-O09,-,Anzahl,GES025,Entlassene Patienten
23131,2021,DINSG,ICD10-T51-T65,9725,Anzahl,GES025,Entlassene Patienten
23131,2016,DINSG,ICD10-D65-D69,18784,Anzahl,GES025,Entlassene Patienten
