statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-Z00-Z13;Inanspruchnahme Gesundheitswesen, Untersuchung;46728;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-D60-D64;Aplastische und sonstige Anämien;36917;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-F99-F99;Nicht näher bezeichnete psychische Störungen;189;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-M30-M36;Systemkrankheiten des Bindegewebes;40051;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-A20-A28;Bestimmte bakterielle Zoonosen;969;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-P10-P15;Geburtstrauma;1758;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-M60-M63;Krankheiten der Muskeln;15792;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-O60-O75;Komplikationen bei Wehentätigkeit und Entbindung;355168;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-B15-B19;Virushepatitis;3623;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-F00-F09;Organische, einschl. symptomat. psych. Störungen;85020;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-J40-J47;Chronische Krankheiten der unteren Atemwege;295788;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-Q80-Q89;Sonstige angeborene Fehlbildungen;6236;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-N30-N39;Sonstige Krankheiten des Harnsystems;242156;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-I10-I15;Hypertonie (Hochdruckkrankheit);291239;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-J00-J06;Akute Infektionen der oberen Atemwege;83422;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-T79-T79;Bestimmte Frühkomplikationen eines Traumas;4349;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-C76-C80;BN ungenau bez., sekundärer u.n.n. bez. Lokalisat.;139060;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-Z40-Z54;Inanspruchn. Gesundheitswesen, med.Betreuung u.Ä.;47933;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-O94-O99;Sonst.Kh.-zustände d.Gestationsperiode,ao.n.klass.;39958;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-O30-O48;Betreuung d. Mutter bei Entbindungskomplikationen;299506;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-J80-J84;Sonst.Kh.d.Atmungsorg.,hpts.Interstitium betreff.;21136;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-H49-H52;Affekt.d.Augenmuskels,Stör.d.Blickbewegung u.Ä.;14740;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-A90-A99;Athropoden-Virus-Kh. u. virales hämorrhag.Fieber;1560;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-L00-L08;Infektionen der Haut und der Unterhaut;109809;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-J20-J22;Sonstige akute Infektionen der unteren Atemwege;123026;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-L60-L75;Krankheiten der Hautanhangsgebilde;23450;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-H25-H28;Affektionen der Linse;72006;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-R10-R19;Symptome, d.d. Verdauungssystem u. Abdomen betr.;194705;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2023;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-K00-K14;Kh. d. Mundhöhle, d. Speicheldrüsen u.d. Kiefer;63601;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-Q65-Q79;Angeb. Fehlbild./Deform.d.Muskel-Skelett-Systems;24255;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-B65-B83;Helminthosen;1486;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-F90-F98;Verhaltens-u.emot.Störungen/Beginn Kindheit u.Jgd.;24380;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-U60-U61;Stadieneinteilung der HIV-Infektion;-;Anzahl;GES025;Entlassene Patienten;
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-J60-J70;Lungenkrankheiten durch exogene Substanzen;38395;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-N10-N16;Tubulointerstitielle Nierenkrankheiten;189036;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-M65-M68;Krankheiten der Synovialis und der Sehnen;27824;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-Z80-Z99;Pers.m.Gesundheitsrisiken,Fam.-/Eigenanamnese u.Ä.;5231;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2017;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-O09-O09;Schwangerschaftsdauer;-;Anzahl;GES025;Entlassene Patienten;
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-T51-T65;Toxische Wirkungen v.vorw.nicht med.verwend.Subst.;9725;Anzahl;GES025;Entlassene Patienten;e
23131;Diagnosen der Krankenhauspatienten;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;ICD10B;ICD-10 (2-Steller) Hauptdiagnose;ICD10-D65-D69;Koagulopathien,Purpura u.sonst.hämorrhag.Diathesen;18784;Anzahl;GES025;Entlassene Patienten;e
