geschlecht;jahr;Deutschland;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen;Ausland;unbekannt
männlich;2014;9241703;1029064;1403870;349799;321575;68609;175384;667526;207020;872328;2136728;483811;127385;486531;309992;311559;290522;56083;772
männlich;2015;9344535;1041363;1418202;358558;325055;68980;178330;676561;209466;883677;2157569;485299;129842;490640;309449;317443;294101;58185;758
männlich;2016;9496908;1057850;1440257;369123;331858;69413;179716;688052;210884;900144;2205085;496240;132362;490071;313035;317578;295240;58826;349
männlich;2017;9465908;1060154;1434148;373179;332537;69714;175510;689108;211839;896267;2195342;492939;130465;479681;309347;320826;294852;57371;375
männlich;2018;9427596;1055209;1440826;379188;334661;69359;172435;667242;209363;889810;2191376;489320;130885;482308;305703;316780;293131;58216;456
männlich;2019;9478367;1054995;1450804;379958;335253;66366;173990;685198;211514;890855;2205160;492063;130351;483548;304289;320216;293807;57264;239
männlich;2020;8283048;928662;1251384;333904;291238;58159;153181;597609;189823;776729;1914067;428083;114446;433660;270598;284078;257427;39199;175
männlich;2021;8193677;924478;1231564;318068;280867;58062;152911;598864;185873;781532;1925116;423474;111897;409882;256703;285460;248926;38635;29
männlich;2022;8264728;920134;1256663;325611;284516;55194;150728;610683;187923;779955;1941110;430192;111422;417704;257818;278728;256347;44009;527
männlich;2023;8435461;906387;1285599;330605;296116;57761;155946;617964;196295;802342;1990837;439754;112288;427279;264031;286132;266125;44489;9
weiblich;2014;10289948;1131406;1548970;404059;341445;78585;207835;753497;213217;975498;2447090;536700;141535;521199;327798;350245;310869;43868;372
weiblich;2015;10309604;1136367;1556144;408189;341779;78456;208874;757837;212786;979892;2455657;533139;142910;516122;325027;348429;307996;44695;479
weiblich;2016;10463180;1150533;1578517;420054;348293;78301;209810;771115;214771;995245;2500268;542744;146384;516168;327017;353901;310059;44197;200
weiblich;2017;10387108;1142447;1579872;419996;347702;77359;204857;764825;212893;987860;2480617;539730;143644;505198;320043;354271;305794;41663;161
weiblich;2018;10280787;1134278;1578280;421420;345063;77996;200313;739121;210916;971056;2464466;530968;143145;500460;314353;346554;302398;41418;205
weiblich;2019;10280052;1128266;1573442;418928;343062;74347;201822;757384;209700;968774;2468442;534837;143460;496469;311380;348976;300763;39713;82
weiblich;2020;8917491;986476;1351313;367260;295576;65222;177814;655574;186903;846381;2120257;459689;121590;440422;273272;309357;260385;25160;51
weiblich;2021;8901579;997882;1348589;352793;284914;65162;180015;662747;183890;857316;2153187;456721;121611;417300;257054;313580;248818;23615;10
weiblich;2022;8867687;978636;1347403;356312;285312;63036;174749;667606;183605;847714;2148977;458644;119335;419773;256721;305619;254245;28332;297
weiblich;2023;9087559;1023029;1372655;359336;296596;64849;180552;674051;191196;868064;2200476;467933;121140;425972;262729;314334;264647;29597;8
weiblich;2015;19654144;2177730;2974346;766747;666834;147436;387204;1434398;422252;1863569;4613226;1018438;272757;1006762;634476;665872;602097;102880;1237
weiblich;2016;19960117;2208383;3018774;789177;680151;147714;389540;1459171;425655;1895394;4705353;1038986;278748;1006239;640052;671481;605299;103023;549
weiblich;2017;19853165;2202625;3014020;793176;680239;147073;380379;1453941;424738;1884128;4675959;1032672;274116;984880;629390;675183;600646;99034;536
weiblich;2018;19708391;2189487;3019106;800608;679724;147355;372748;1406364;420279;1860866;4655842;1020288;274037;982768;620056;663334;595529;99635;661
weiblich;2019;19758486;2183268;3024249;798886;678315;140713;375815;1442622;421215;1859633;4673602;1026900;273816;980017;615669;669196;594570;96977;321
weiblich;2020;17200556;1915153;2602697;701164;586814;123381;330995;1253185;376726;1623110;4034324;887772;236036;874082;543870;593435;517812;64360;226
weiblich;2021;17095260;1922360;2580153;670861;565781;123224;332926;1261615;369763;1638848;4078303;880195;233508;827182;513757;599040;497744;62250;39
weiblich;2022;17132419;1898772;2604066;681923;569828;118230;325477;1278291;371528;1627669;4090087;888836;230757;837477;514539;584347;510592;72342;824
weiblich;2023;17523022;1929416;2658254;689941;592712;122610;336498;1292016;387491;1670406;4191314;907687;233428;853251;526760;600466;530772;74086;17
