statistics_code,jahr,1_variable_code,2_variable_code,ICD-2,anzahl
23131,2021,DINSG,ICD10B,ICD10-Z00-Z13,46728
23131,2014,DINSG,ICD10B,ICD10-D60-D64,36917
23131,2017,DINSG,ICD10B,ICD10-F99-F99,189
23131,2020,DINSG,ICD10B,ICD10-M30-M36,40051
23131,2016,DINSG,ICD10B,ICD10-A20-A28,969
23131,2020,DINSG,ICD10B,ICD10-P10-P15,1758
23131,2014,DINSG,ICD10B,ICD10-M60-M63,15792
23131,2014,DINSG,ICD10B,ICD10-O60-O75,355168
23131,2019,DINSG,ICD10B,ICD10-B15-B19,3623
23131,2020,DINSG,ICD10B,ICD10-F00-F09,85020
23131,2018,DINSG,ICD10B,ICD10-J40-J47,295788
23131,2022,DINSG,ICD10B,ICD10-Q80-Q89,6236
23131,2017,DINSG,ICD10B,ICD10-N30-N39,242156
23131,2014,DINSG,ICD10B,ICD10-I10-I15,291239
23131,2017,DINSG,ICD10B,ICD10-J00-J06,83422
23131,2021,DINSG,ICD10B,ICD10-T79-T79,4349
23131,2016,DINSG,ICD10B,ICD10-C76-C80,139060
23131,2022,DINSG,ICD10B,ICD10-Z40-Z54,47933
23131,2014,DINSG,ICD10B,ICD10-O94-O99,39958
23131,2020,DINSG,ICD10B,ICD10-O30-O48,299506
23131,2014,DINSG,ICD10B,ICD10-J80-J84,21136
23131,2017,DINSG,ICD10B,ICD10-H49-H52,14740
23131,2021,DINSG,ICD10B,ICD10-A90-A99,1560
23131,2021,DINSG,ICD10B,ICD10-L00-L08,109809
23131,2014,DINSG,ICD10B,ICD10-J20-J22,123026
23131,2015,DINSG,ICD10B,ICD10-L60-L75,23450
23131,2022,DINSG,ICD10B,ICD10-H25-H28,72006
23131,2016,DINSG,ICD10B,ICD10-R10-R19,194705
23131,2023,DINSG,ICD10B,ICD10-K00-K14,63601
23131,2016,DINSG,ICD10B,ICD10-Q65-Q79,24255
23131,2014,DINSG,ICD10B,ICD10-B65-B83,1486
23131,2020,DINSG,ICD10B,ICD10-F90-F98,24380
23131,2015,DINSG,ICD10B,ICD10-U60-U61,-
23131,2022,DINSG,ICD10B,ICD10-J60-J70,38395
23131,2020,DINSG,ICD10B,ICD10-N10-N16,189036
23131,2016,DINSG,ICD10B,ICD10-M65-M68,27824
23131,2015,DINSG,ICD10B,ICD10-Z80-Z99,5231
23131,2017,DINSG,ICD10B,ICD10-O09-O09,-
23131,2021,DINSG,ICD10B,ICD10-T51-T65,9725
23131,2016,DINSG,ICD10B,ICD10-D65-D69,18784
23131,2014,DINSG,ICD10B,ICD10-I80-I89,166706
23131,2018,DINSG,ICD10B,ICD10-C50-C50,130529
23131,2014,DINSG,ICD10B,ICD10-M05-M14,60602
23131,2016,DINSG,ICD10B,ICD10-R40-R46,91138
23131,2014,DINSG,ICD10B,ICD10-Q00-Q07,3376
23131,2018,DINSG,ICD10B,ICD10-R30-R39,38159
23131,2016,DINSG,ICD10B,ICD10-L10-L14,5907
23131,2022,DINSG,ICD10B,ICD10-F20-F29,117071
23131,2014,DINSG,ICD10B,ICD10-U55-U55,-
23131,2018,DINSG,ICD10B,ICD10-G80-G83,17929
23131,2021,DINSG,ICD10B,ICD10-P80-P83,3789
23131,2015,DINSG,ICD10B,ICD10-C51-C58,71170
23131,2023,DINSG,ICD10B,ICD10-D00-D09,32421
23131,2014,DINSG,ICD10B,ICD10-Q30-Q34,2440
23131,2019,DINSG,ICD10B,ICD10-S90-S99,36994
23131,2016,DINSG,ICD10B,ICD10-P70-P74,12901
23131,2019,DINSG,ICD10B,ICD10-A80-A89,5505
23131,2015,DINSG,ICD10B,ICD10-C60-C63,84783
23131,2017,DINSG,ICD10B,ICD10-A65-A69,6077
23131,2016,DINSG,ICD10B,ICD10-E10-E14,207485
23131,2022,DINSG,ICD10B,ICD10-T08-T14,1720
23131,2023,DINSG,ICD10B,ICD10-I00-I02,2486
23131,2020,DINSG,ICD10B,ICD10-T90-T98,22
23131,2022,DINSG,ICD10B,ICD10-Z70-Z76,3730
23131,2017,DINSG,ICD10B,ICD10-Z20-Z29,4480
23131,2021,DINSG,ICD10B,ICD10-P20-P29,42155
