isodat,Infektionen,Zuwachs,Genesen,Verstorben
2022-08-26,1366,00,13158,57
2022-08-19,1366,1530,13158,57
2022-08-12,13507,1930,130,57
2022-08-05,13314,3560,1279,57
2022-07-22,12958,2370,12249,56
2022-07-15,12721,3680,11916,56
2022-07-08,12353,2840,1157,56
2022-07-01,12069,6590,11255,56
2022-06-17,1141,1650,11093,55
2022-06-10,11245,1360,10967,55
2022-06-03,11109,970,10882,55
2022-05-27,11012,890,10768,56
2022-05-20,10923,1190,1064,55
2022-05-13,10804,1370,10493,55
2022-05-06,10667,1540,1023,53
2022-05-05,10513,00,9957,53
2022-05-04,10513,00,9957,53
2022-05-03,10513,00,9957,53
2022-05-02,10513,00,9957,53
2022-04-29,10513,2960,9957,53
2022-04-28,10217,00,9655,52
2022-04-27,10217,00,9655,52
2022-04-26,10217,00,9655,52
2022-04-25,10217,00,9655,52
2022-04-22,10217,940,9655,52
2022-04-21,10123,600,959,52
2022-04-20,10063,1460,9518,52
2022-04-19,9917,00,9153,52
2022-04-14,9917,500,9153,52
2022-04-13,9867,630,9052,52
2022-04-12,9804,290,8934,52
2022-04-11,9775,1830,8842,52
2022-04-08,9592,490,8649,52
2022-04-07,9543,570,8531,52
2022-04-06,9486,680,8439,52
2022-04-05,9418,470,8359,52
2022-04-04,9371,1570,8254,52
2022-04-01,9214,1330,809,52
2022-03-31,9081,1330,8007,52
2022-03-30,8948,1150,7909,52
2022-03-29,8833,1890,781,52
2022-03-28,8644,610,7766,52
2022-03-25,8583,1080,7649,52
2022-03-24,8475,950,7576,52
2022-03-23,838,1300,7502,52
2022-03-22,825,670,7431,52
2022-03-21,8183,1230,725,52
2022-03-18,806,1120,725,51
2022-03-17,7948,980,7199,51
2022-03-16,785,680,713,51
2022-03-15,7782,590,709,51
2022-03-14,7723,820,7045,51
2022-03-11,7641,770,6973,50
2022-03-10,7564,870,6924,49
2022-03-09,7477,660,6869,49
2022-03-08,7411,380,6806,49
2022-03-07,7373,1210,6735,49
2022-03-04,7252,460,6622,49
2022-03-03,7206,630,6535,49
2022-03-02,7143,330,6474,49
2022-03-01,711,1150,6364,49
2022-02-25,6995,740,6119,49
2022-02-24,6921,650,599,49
2022-02-23,6856,790,59,49
2022-02-22,6777,460,5786,49
2022-02-21,6731,1510,5681,49
2022-02-18,658,740,5407,49
2022-02-17,6506,1030,5294,49
2022-02-16,6403,860,5128,49
2022-02-15,6317,310,4924,49
2022-02-14,6286,2300,4833,49
2022-02-11,6056,1040,4602,47
2022-02-10,5952,1130,4482,47
2022-02-09,5839,1070,4314,47
2022-02-08,5732,1220,41,47
2022-02-07,561,3530,4046,47
2022-02-04,5257,1700,3731,47
2022-02-03,5087,1070,3655,47
2022-02-02,498,920,3574,47
2022-02-01,4888,1410,3473,47
2022-01-31,4747,2050,3424,47
2022-01-28,4542,1420,3311,47
2022-01-27,44,1770,3241,47
2022-01-26,4223,1240,3199,47
2022-01-25,4099,1200,3165,47
2022-01-24,3979,2240,3146,47
2022-01-21,3755,940,3101,47
2022-01-20,3661,900,3082,47
2022-01-19,3571,1050,3066,47
2022-01-18,3466,390,3041,47
2022-01-17,3427,1170,303,47
2022-01-14,331,700,301,47
2022-01-13,324,180,2993,47
2022-01-12,3222,290,2982,47
2022-01-11,3193,60,2974,47
2022-01-10,3187,590,297,47
2022-01-07,3128,200,2956,47
2022-01-06,3108,160,2951,47
2022-01-05,3092,150,2937,47
2022-01-04,3077,70,2925,47
2022-01-03,307,500,2913,47
2021-12-31,302,00,2846,47
2021-12-30,302,10,2846,47
