datum;infekt_sum;infekt_ink;genesen;verstorben;;holy_inzidenz
09.09.2022;;;;;;
08.09.2022;;;;;;
07.09.2022;;;;;;
06.09.2022;;;;;;
05.09.2022;;;;;;
04.09.2022;;;;;;
03.09.2022;;;;;;
02.09.2022;;;;;;
01.09.2022;;;;;;
31.08.2022;;;;;;
30.08.2022;;;;;;
29.08.2022;;;;;;
28.08.2022;;;;;;
27.08.2022;;;;;;
26.08.2022;34.274;0;32.963;121;;0,00
25.08.2022;;;;;;
24.08.2022;;;;;;
23.08.2022;;;;;;
22.08.2022;;;;;;
21.08.2022;;;;;;
20.08.2022;;;;;;
19.08.2022;34.274;414;32.963;121;;399,05
18.08.2022;;;;;;
17.08.2022;;;;;;
16.08.2022;;;;;;
15.08.2022;;;;;;
14.08.2022;;;;;;
13.08.2022;;;;;;
12.08.2022;33.860;452;32.481;121;;435,68
11.08.2022;;;;;;
10.08.2022;;;;;;
09.08.2022;;;;;;
08.08.2022;;;;;;
07.08.2022;;;;;;
06.08.2022;;;;;;
05.08.2022;33.408;1.046;31.927;120;;1.008,23
04.08.2022;;;;;;
03.08.2022;;;;;;
02.08.2022;;;;;;
01.08.2022;;;;;;
31.07.2022;;;;;;
30.07.2022;;;;;;
29.07.2022;;;;;;
28.07.2022;;;;;;
27.07.2022;;;;;;
26.07.2022;;;;;;
25.07.2022;;;;;;
24.07.2022;;;;;;
23.07.2022;;;;;;
22.07.2022;32.362;621;30.603;120;;598,58
21.07.2022;;;;;;
20.07.2022;;;;;;
19.07.2022;;;;;;
18.07.2022;;;;;;
17.07.2022;;;;;;
16.07.2022;;;;;;
15.07.2022;31.741;783;29.793;120;;754,73
14.07.2022;;;;;;
13.07.2022;;;;;;
12.07.2022;;;;;;
11.07.2022;;;;;;
10.07.2022;;;;;;
09.07.2022;;;;;;
08.07.2022;30.958;727;28.991;120;;700,75
07.07.2022;;;;;;
06.07.2022;;;;;;
05.07.2022;;;;;;
04.07.2022;;;;;;
03.07.2022;;;;;;
02.07.2022;;;;;;
01.07.2022;30.231;1.585;28.254;120;;1.527,77
30.06.2022;;;;;;
29.06.2022;;;;;;
28.06.2022;;;;;;
27.06.2022;;;;;;
26.06.2022;;;;;;
25.06.2022;;;;;;
24.06.2022;;;;;;
23.06.2022;;;;;;
22.06.2022;;;;;;
21.06.2022;;;;;;
20.06.2022;;;;;;
19.06.2022;;;;;;
18.06.2022;;;;;;
17.06.2022;28.646;537;27.714;119;;517,61
16.06.2022;;;;;;
15.06.2022;;;;;;
14.06.2022;;;;;;
13.06.2022;;;;;;
12.06.2022;;;;;;
11.06.2022;;;;;;
10.06.2022;28.109;381;27.373;119;;367,24
09.06.2022;;;;;;
08.06.2022;;;;;;
07.06.2022;;;;;;
06.06.2022;;;;;;
05.06.2022;;;;;;
04.06.2022;;;;;;
03.06.2022;27.728;286;27.174;118;;275,67
02.06.2022;;;;;;
01.06.2022;;;;;;
31.05.2022;;;;;;
30.05.2022;;;;;;
29.05.2022;;;;;;
28.05.2022;;;;;;
27.05.2022;27.442;197;26.875;118;;189,89
26.05.2022;;;;;;
25.05.2022;;;;;;
24.05.2022;;;;;;
23.05.2022;;;;;;
22.05.2022;;;;;;
21.05.2022;;;;;;
20.05.2022;27.245;306;26.516;113;;294,95
19.05.2022;;;;;;
18.05.2022;;;;;;
17.05.2022;;;;;;
16.05.2022;;;;;;
15.05.2022;;;;;;
14.05.2022;;;;;;
13.05.2022;26.939;362;26.066;110;;348,93
12.05.2022;;;;;;
11.05.2022;;;;;;
10.05.2022;;;;;;
09.05.2022;;;;;;
08.05.2022;;;;;;
07.05.2022;;;;;;
06.05.2022;26.577;471;25.466;108;;453,99
05.05.2022;26.106;0;24.843;107;;684,36
04.05.2022;26.106;0;24.843;107;;684,36
03.05.2022;26.106;0;24.843;107;;684,36
02.05.2022;26.106;0;24.843;107;;684,36
01.05.2022;;;;;;
30.04.2022;;;;;;
29.04.2022;26.106;710;24.843;107;;684,36
28.04.2022;25.396;0;23.944;104;;198,56
27.04.2022;25.396;0;23.944;104;;373,99
26.04.2022;25.396;0;23.944;104;;727,74
25.04.2022;25.396;0;23.944;104;;727,74
24.04.2022;;;;;;
23.04.2022;;;;;;
22.04.2022;25.396;206;23.944;104;;727,74
21.04.2022;25.190;182;23.796;104;;529,18
20.04.2022;25.008;367;23.606;103;;505,08
19.04.2022;24.641;0;22.791;103;;325,80
18.04.2022;;;;;;
17.04.2022;;;;;;
16.04.2022;;;;;;
15.04.2022;;;;;;
14.04.2022;24.641;157;22.791;103;;987,99
13.04.2022;24.484;181;22.570;103;;930,16
12.04.2022;24.303;56;22.257;103;;926,30
11.04.2022;24.247;408;22.070;102;;946,54
10.04.2022;;;;;;
09.04.2022;;;;;;
08.04.2022;23.839;223;21.655;102;;877,14
07.04.2022;23.616;97;21.387;102;;929,19
06.04.2022;23.519;177;21.157;102;;1.139,32
05.04.2022;23.342;77;20.913;102;;1.245,35
04.04.2022;23.265;336;20.725;102;;1.544,16
03.04.2022;;;;;;
02.04.2022;;;;;;
01.04.2022;22.929;277;20.276;102;;1.282,94
31.03.2022;22.652;315;20.041;102;;1.399,57
30.03.2022;22.337;287;19.797;102;;1.413,07
29.03.2022;22.050;387;19.418;101;;1.395,72
28.03.2022;21.663;65;19.327;101;;1.137,39
27.03.2022;;;;;;
26.03.2022;;;;;;
25.03.2022;21.598;398;18.992;101;;1.425,60
24.03.2022;21.200;329;18.770;101;;1.327,28
23.03.2022;20.871;269;18.600;100;;1.327,28
22.03.2022;20.602;119;18.375;99;;1.235,71
21.03.2022;20.483;364;17.840;99;;1.255,95
20.03.2022;;;;;;
19.03.2022;;;;;;
18.03.2022;20.119;296;17.840;99;;1.144,14
17.03.2022;19.823;329;17.681;99;;1.042,93
16.03.2022;19.494;174;17.543;99;;929,19
15.03.2022;19.320;140;17.390;99;;970,64
14.03.2022;19.180;248;17.301;99;;964,86
13.03.2022;;;;;;
12.03.2022;;;;;;
11.03.2022;18.932;191;17.046;99;;1.079,56
10.03.2022;18.741;211;16.907;98;;1.043,90
09.03.2022;18.530;217;16.762;98;;965,82
08.03.2022;18.313;134;16.556;98;;877,14
07.03.2022;18.179;367;16.396;98;;1.105,58
06.03.2022;;;;;;
05.03.2022;;;;;;
04.03.2022;17.812;154;16.082;98;;751,84
03.03.2022;17.658;130;15.891;98;;772,08
02.03.2022;17.528;125;15.676;98;;863,65
01.03.2022;17.403;371;15.445;98;;891,60
28.02.2022;;;;;;
27.02.2022;;;;;;
26.02.2022;;;;;;
25.02.2022;17.032;175;14.818;98;;998,59
24.02.2022;16.857;225;14.603;97;;1.078,60
23.02.2022;16.632;154;14.376;97;;1.050,64
22.02.2022;16.478;104;14.043;97;;1.116,19
21.02.2022;16.374;378;13.820;97;;1.171,13
20.02.2022;;;;;;
19.02.2022;;;;;;
18.02.2022;15.996;258;13.256;97;;1.289,69
17.02.2022;15.738;196;12.953;95;;1.201,01
16.02.2022;15.542;222;12.612;95;;1.233,78
15.02.2022;15.320;161;12.189;95;;1.302,22
14.02.2022;15.159;501;11.944;95;;1.416,92
13.02.2022;;;;;;
12.02.2022;;;;;;
11.02.2022;14.658;166;11.326;95;;1.656,93
10.02.2022;14.492;230;11.022;95;;1.911,40
09.02.2022;14.262;293;10.706;94;;1.890,19
08.02.2022;13.969;280;10.234;94;;1.875,73
07.02.2022;13.689;750;10.041;94;;1.920,07
06.02.2022;;;;;;
05.02.2022;;;;;;
04.02.2022;12.939;430;9.342;94;;1.776,45
03.02.2022;12.509;208;9.159;94;;1.636,69
02.02.2022;12.301;278;8.989;94;;1.788,98
01.02.2022;12.023;326;8.756;94;;1.795,73
31.01.2022;11.697;601;8.599;94;;1.748,50
30.01.2022;;;;;;
29.01.2022;;;;;;
28.01.2022;11.096;285;8.357;93;;1.670,43
27.01.2022;10.811;366;8.196;93;;1.626,09
26.01.2022;10.445;285;8.091;93;;1.390,90
25.01.2022;10.160;277;7.967;93;;1.371,62
24.01.2022;9.883;520;7.884;93;;1.207,76
23.01.2022;;;;;;
22.01.2022;;;;;;
21.01.2022;9.363;239;7.729;93;;992,81
20.01.2022;9.124;122;7.660;92;;907,99
19.01.2022;9.002;265;7.577;92;;873,29
18.01.2022;8.737;107;7.512;92;;714,24
17.01.2022;8.630;297;7.451;92;;637,13
16.01.2022;;;;;;
15.01.2022;;;;;;
14.01.2022;8.333;151;7.385;92;;534,96
13.01.2022;8.182;86;7.351;92;;472,31
