jahr,geschlecht,wohnort,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,wo_abbr
2023,männlich,Deutschland,925930,1303191,381606,243485,82026,223735,599296,195555,750824,2001026,406946,116581,435922,249572,257523,262243,DE
2023,männlich,Baden-Württemberg,856500,29401,712,197,58,464,4360,246,705,2072,9605,475,533,201,512,346,BW
2023,männlich,Bayern,23941,1238589,833,267,64,525,8569,316,733,1858,920,217,2358,393,498,5518,BY
2023,männlich,Berlin,538,1273,313174,9945,42,361,403,1186,709,879,197,44,611,505,521,217,BE
2023,männlich,Brandenburg,187,615,56140,221851,21,345,195,5724,464,370,99,25,7424,2052,312,292,BB
2023,männlich,Bremen,73,150,115,48,49618,1017,122,59,5502,532,41,7,37,24,399,17,HB
2023,männlich,Hamburg,235,517,324,119,122,142173,254,401,1913,587,81,15,78,61,9000,66,HH
2023,männlich,Hessen,18028,10512,564,171,69,644,551853,208,7656,8884,15576,448,404,229,546,2172,HE
2023,männlich,Mecklenburg-Vorpommern,105,251,2378,2205,44,2302,133,182125,801,303,55,10,238,233,5000,112,MV
2023,männlich,Niedersachsen,911,2241,1561,655,31369,25738,4059,1691,693447,28323,475,96,624,4419,5268,1465,NI
2023,männlich,Nordrhein-Westfalen,2917,5330,1393,504,336,2019,10683,718,25174,1931395,6438,354,607,456,2019,494,NW
2023,männlich,Rheinland-Pfalz,19664,2241,285,91,43,329,14280,88,461,23095,366141,12361,170,107,247,151,RP
2023,männlich,Saarland,1443,417,62,19,5,52,481,21,67,364,6784,102444,31,17,48,33,SL
2023,männlich,Sachsen,482,2680,1278,2236,25,224,405,651,362,539,179,36,408707,2938,218,6319,SN
2023,männlich,Sachsen-Anhalt,229,675,1836,4716,43,382,287,735,5532,486,76,11,7612,234182,273,6956,ST
2023,männlich,Schleswig-Holstein,283,676,518,231,151,47006,333,1114,1966,812,137,22,123,148,232530,82,SH
2023,männlich,Thüringen,394,7623,433,230,16,154,2879,272,5332,527,142,16,6365,3607,132,238003,TH
2023,männlich,Ausland,5684,11000,2636,1483,206,1116,2510,681,2276,8460,2513,1908,1675,814,940,587,n/a
2023,weiblich,Deutschland,1038806,1394816,407133,248342,90812,246258,656599,190418,815630,2208645,436824,124632,433051,249572,284705,261316,DE
2023,weiblich,Baden-Württemberg,971117,31440,763,189,54,318,4682,291,628,2056,9606,428,384,178,588,307,BW
2023,weiblich,Bayern,23043,1327825,894,215,68,417,8377,273,716,1721,798,149,2075,318,535,5231,BY
2023,weiblich,Berlin,595,1413,340843,10974,45,412,428,1083,702,942,184,44,524,383,516,248,BE
2023,weiblich,Brandenburg,227,588,53665,226289,17,284,202,5422,401,326,91,10,6699,1805,305,265,BB
2023,weiblich,Bremen,86,172,107,32,57053,1024,120,53,5230,493,32,9,29,27,356,26,HB
2023,weiblich,Hamburg,237,682,375,131,105,165572,284,355,2254,584,84,24,94,81,9641,49,HH
2023,weiblich,Hessen,17408,11292,572,168,50,462,609058,189,6084,9656,15422,376,291,171,621,2231,HE
2023,weiblich,Mecklenburg-Vorpommern,104,264,2183,1855,33,1991,84,178283,835,270,66,6,182,168,4753,119,MV
2023,weiblich,Niedersachsen,1063,2368,1833,518,32891,23782,4394,1366,760079,27294,469,101,529,4384,5534,1459,NI
2023,weiblich,Nordrhein-Westfalen,3064,5613,1341,376,270,1771,10182,619,26054,2139693,7606,285,397,384,2376,445,NW
2023,weiblich,Rheinland-Pfalz,19129,2379,290,64,28,209,14744,80,426,23102,394875,12014,133,50,275,135,RP
2023,weiblich,Saarland,1372,506,39,17,5,40,380,12,78,377,7106,111098,22,13,48,27,SL
2023,weiblich,Sachsen,438,2256,1468,2337,12,177,393,661,314,459,139,35,409148,2328,210,5597,SN
2023,weiblich,Sachsen-Anhalt,203,588,1761,4727,27,319,250,620,5379,386,62,15,6676,235635,197,5884,ST
2023,weiblich,Schleswig-Holstein,340,803,523,230,132,49335,376,838,1891,786,163,19,108,108,258625,57,SH
2023,weiblich,Thüringen,380,6627,476,220,22,145,2645,273,4559,500,121,19,5760,3539,125,239236,TH
2023,weiblich,Ausland,4414,7466,1710,841,108,699,1521,347,1130,6129,1638,1604,885,285,595,225,n/a
2023,weiblich,Baden-Württemberg,1827617,60841,1475,386,112,782,9042,537,1333,4128,19211,903,917,379,1100,653,BW
2023,weiblich,Bayern,46984,2566414,1727,482,132,942,16946,589,1449,3579,1718,366,4433,711,1033,10749,BY
2023,weiblich,Berlin,1133,2686,654017,20919,87,773,831,2269,1411,1821,381,88,1135,888,1037,465,BE
2023,weiblich,Brandenburg,414,1203,109805,448140,38,629,397,11146,865,696,190,35,14123,3857,617,557,BB
2023,weiblich,Bremen,159,322,222,80,106671,2041,242,112,10732,1025,73,16,66,51,755,43,HB
2023,weiblich,Hamburg,472,1199,699,250,227,307745,538,756,4167,1171,165,39,172,142,18641,115,HH
2023,weiblich,Hessen,35436,21804,1136,339,119,1106,1160912,397,13740,18540,30998,824,695,400,1167,4403,HE
2023,weiblich,Mecklenburg-Vorpommern,209,515,4561,4060,77,4293,217,360408,1636,573,121,16,420,401,9753,231,MV
2023,weiblich,Niedersachsen,1974,4609,3394,1173,64260,49520,8453,3057,1453526,55617,944,197,1153,8803,10802,2924,NI
2023,weiblich,Nordrhein-Westfalen,5981,10943,2734,880,606,3790,20866,1337,51228,4071088,14044,639,1004,840,4395,939,NW
2023,weiblich,Rheinland-Pfalz,38793,4620,575,155,71,538,29024,168,887,46197,761016,24375,303,157,522,286,RP
2023,weiblich,Saarland,2815,923,101,36,10,92,861,33,145,741,13890,213542,53,30,96,60,SL
2023,weiblich,Sachsen,920,4936,2746,4573,37,401,798,1312,676,998,318,71,817855,5266,428,11916,SN
2023,weiblich,Sachsen-Anhalt,432,1263,3597,9443,70,701,537,1355,10911,872,138,26,14288,469817,470,12840,ST
2023,weiblich,Schleswig-Holstein,623,1479,1041,461,283,96341,709,1952,3857,1598,300,41,231,256,491155,139,SH
2023,weiblich,Thüringen,774,14250,909,450,38,299,5524,545,9891,1027,263,35,12125,7146,257,477239,TH
2023,weiblich,Ausland,10098,18466,4346,2324,314,1815,4031,1028,3406,14589,4151,3512,2560,1099,1535,812,n/a
