jahr;ins;öffentlich;a_teil;freigemeinnützig;f_teil;privat;pr_teil
1991;2411;1110;46.0;943;391;358;14.8
1992;2381;1062;44.6;950;399;369;15.5
1993;2354;1023;43.5;950;404;381;16.2
1994;2337;987;42.2;949;406;401;17.2
1995;2325;972;41.8;944;406;409;17.6
1996;2269;933;41.1;929;409;407;17.9
1997;2258;919;40.7;919;407;420;18.6
1998;2263;890;39.3;920;407;453;20.0
1999;2252;854;37.9;930;413;468;20.8
2000;2242;844;37.6;912;407;486;21.7
2001;2240;825;36.8;903;403;512;22.9
2002;2221;817;36.8;877;395;527;23.7
2003;2197;796;36.2;856;390;545;24.8
2004;2166;780;36.0;831;384;555;25.6
2005;2139;751;35.1;818;382;570;26.6
2006;2104;717;34.1;803;382;584;27.8
2007;2087;677;32.4;790;379;620;29.7
2008;2083;665;31.9;781;375;637;30.6
2009;2084;648;31.1;769;369;667;32.0
2010;2064;630;30.5;755;366;679;32.9
2011;2045;621;30.4;746;365;678;33.2
2012;2017;601;29.8;719;356;697;34.6
2013;1996;596;29.9;706;354;694;34.8
2014;1980;589;29.7;696;352;695;35.1
2015;1956;577;29.5;679;347;700;35.8
2016;1951;570;29.2;674;345;707;36.2
2017;1942;560;28.8;662;341;720;37.1
2018;1925;552;28.7;650;338;723;37.6
2019;1914;545;28.5;645;337;724;37.8
2020;1903;551;29.0;620;326;732;38.5
